,label,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,underclassman,athleticism_score,production_score,final_score,imp_grade,conf_Group of 5,conf_Power 5
16,CAR_Marty Hurney,74.24885416666667,246.17708333333334,32.483125,29.929895833333333,14.770833333333334,1.3407291666666667,3.8035416666666664,26.484375,93.16666666666667,5.155104166666667,2.963229166666667,0.4348958333333333,0.0,68.15864583333332,67.01489583333334,69.4021875,6.031145833333333,0.11458333333333333,0.8020833333333334
17,CAR_Scott Fitterer,73.65865384615384,238.53846153846155,32.23076923076923,77.625,3.5,0.7442307692307693,2.1307692307692307,13.01923076923077,45.34615384615385,0.8630769230769231,1.0457692307692308,4.708846153846154,0.19230769230769232,71.0603846153846,69.4826923076923,71.2476923076923,6.081538461538462,0.0,1.0
18,CHI_Jerry Angelo,73.55701754385964,237.21052631578948,32.050438596491226,6.728070175438597,16.035087719298247,1.2903508771929824,3.7133333333333334,26.45614035087719,87.3859649122807,4.7882456140350875,2.9480701754385965,0.08877192982456139,0.0,70.71280701754387,69.66368421052631,72.17456140350878,6.01280701754386,0.12280701754385964,0.7543859649122807
19,CHI_Phil Emery,74.2,255.2,32.5,78.28333333333333,16.8,1.3286666666666667,3.8406666666666665,27.466666666666665,98.06666666666666,5.879333333333333,3.5373333333333337,0.0,0.0,65.5,67.744,68.45133333333334,6.0120000000000005,0.26666666666666666,0.6666666666666666
20,CHI_Ryan Pace,73.66705128205128,244.76923076923077,32.275769230769235,77.53217948717949,10.025641025641026,1.0264102564102564,3.0123076923076924,21.205128205128204,73.35897435897436,3.319230769230769,2.003846153846154,1.5815384615384616,0.0,73.80205128205128,70.55153846153846,73.68384615384616,6.083846153846154,0.1282051282051282,0.6923076923076923
21,CHI_Ryan Poles,74.51136363636364,245.22727272727272,32.60227272727273,78.35227272727273,6.954545454545454,1.3286363636363636,3.821363636363636,25.227272727272727,85.81818181818181,2.326363636363636,1.4431818181818181,4.736818181818182,0.18181818181818182,69.67818181818183,65.52863636363635,68.06227272727273,6.076818181818182,0.09090909090909091,0.7272727272727273
22,CIN_Mike Brown,74.2434023668639,246.3491124260355,32.500059171597634,51.34630177514793,14.751479289940828,1.2709467455621302,3.659112426035503,24.346153846153847,84.88757396449704,3.8134911242603553,2.353491124260355,1.1565680473372781,0.011834319526627219,69.57934911242603,68.65946745562131,70.59656804733727,6.038875739644971,0.1242603550295858,0.8106508875739645
23,CLE_Andrew Berry,74.15,245.5142857142857,32.410714285714285,78.27857142857142,3.8857142857142857,1.0331428571428571,2.9885714285714284,17.37142857142857,54.2,1.8845714285714283,1.1640000000000001,4.764857142857143,0.14285714285714285,69.84171428571429,69.02485714285714,70.15685714285715,6.043714285714286,0.05714285714285714,0.9142857142857143
24,CLE_Butch Davis,74.2125,245.2,32.0875,0.0,10.3,0.6689999999999999,1.9259999999999997,17.1,71.0,3.543,1.687,1.42,0.0,75.072,70.374,74.731,6.069,0.1,0.7
25,CLE_George Kokinis,73.09375,226.375,31.875,0.0,15.5,1.4375,4.09875,21.875,72.375,4.3575,2.6825,0.0,0.0,62.927499999999995,69.59875,69.67875,6.08875,0.0,0.625
