ID,Last_Season,target,predicted_value,Diff,min_value,mean_value,max_value,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Jeremy McNichols - 11917,2016,33.85,37.77,3.92,31.78,37.2,42.44,2,0.992737177,0.605537903,0.441216523,0.932364957,0.828869723,0.919054116,0.998493219,0.991368681,0.996917386,0.991375397,0.514298684,0.419881979,0.852473899,0.667271902,0.856622667,0.998474835,0.991533396,0.997177799,0.989559691,0.692237857,0.487517022,0.932364957,0.890149796,0.929904415,0.995932893,0.991533396,0.997177799,0,68.63,214,31.5,74.88,17,1.53,4.49,35.5,121,6.93,4.28,4.526
Tevin Coleman - 9506,2014,41.1,37.56,-3.54,36.47,38.97,43.5,1,0.99228325,0.483885611,0.82796187,0.725828416,0.939173854,0.577535243,0.961828227,0.876695438,0.930332922,0.965955515,0.353608715,0.659555152,0.518837948,0.836586473,0.41101502,0.883070666,0.744120414,0.824082785,0.995006809,0.647299138,0.892419428,0.836586473,0.959146618,0.73736914,0.984239959,0.744120414,0.824082785,1,71.375,206,32,75.375,22,1.56,4.486,34.8,123.8,7.084,4.31,4.478
Isaac Guerendo - 83806,2023,34.41,37,2.59,36.74,38.44,40.99,2,0.647299138,0.769405356,0.593735815,0.940535633,0.890149796,0.849022283,0.949773983,0.927866831,0.926017263,0.660463005,0.727644122,0.624602814,0.840671811,0.85882887,0.816568047,0.951703101,0.910630292,0.933207902,0.608261462,0.771674989,0.516568316,0.951429868,0.859282796,0.839326354,0.890696492,0.910630292,0.933207902,1,72,221,30.75,74.875,20.2,1.55,4.33,41.5,129,6.94,4.15,4.47
Jerome Ford - 83601,2021,45.01,36.8,-8.21,33.22,36.86,40.42,2,0.848842488,0.8216069,0.79845665,0.974126192,0.913300045,0.53478854,0.898543446,0.57891492,0.856350185,0.896958693,0.76895143,0.716749887,0.956876986,0.948252383,0.501137915,0.933909507,0.730009407,0.906867357,0.676804358,0.839310032,0.81252837,0.971856559,0.752610077,0.571688666,0.457041179,0.730009407,0.906867357,1,70.5,210,30.625,73.25,20,1.55,4.46,31,118,7.128,4.386,4.53
Deuce Vaughn - 122624,2022,1.61,35.22,33.61,24.96,31.8,37.39,3,0.97049478,0.713572401,0.780299591,0.723104857,0.400363141,0.949067758,0.997990959,0.990752158,0.996300863,0.981842941,0.657739446,0.743985474,0.778029959,0.425783023,0.969503869,0.986781901,0.972718721,0.983066792,0.88061734,0.68679074,0.651384476,0.538810713,0.310939628,0.861174329,0.996441281,0.972718721,0.983066792,1,65,179,27.75,67,17,1.544,4.48,35.5,116,6.944,4.182,4.36
Chuba Hubbard - 57373,2020,31.25,34.83,3.58,31.67,34.27,36.38,3,0.949160236,0.683159328,0.852927826,0.696323196,0.799364503,0.550704866,0.933701657,0.676325524,0.889642417,0.995006809,0.683613255,0.962324103,0.629596005,0.817521562,0.591715976,0.933401118,0.524929445,0.888993415,0.882433046,0.596005447,0.626872447,0.658193373,0.411711303,0.472917615,0.872394509,0.524929445,0.888993415,1,72,210,32,75.75,18.2,1.536,4.474,36.5,125.6,7.058,4.268,4.39
Trey Sermon - 57372,2020,11.27,34.73,23.46,29.3,33.13,35.27,4,0.726282342,0.924648207,0.94734453,0.756695415,0.884248752,0.690768531,0.8221999,0.475339088,0.729963009,0.772128915,0.886518384,0.966863368,0.821152973,0.869269178,0.591715976,0.881545501,0.526810913,0.819379116,0.517022242,0.931003177,0.877439855,0.600544712,0.817975488,0.747837961,0.539400102,0.526810913,0.819379116,1,72.375,215,33.375,77.125,16.8,1.542,4.52,34.9,124.2,7.102,4.258,4.53
KeShawn Vaughn - 45866,2019,40.25,34.66,-5.59,29.22,33.61,35.52,4,0.847934635,0.712210622,0.641398094,0.684521108,0.875170222,0.84629377,0.784530387,0.38162762,0.698520345,0.861098502,0.773944621,0.847026782,0.777122106,0.985020427,0.849340009,0.899339095,0.565380997,0.658513641,0.570585565,0.647299138,0.235133908,0.665456196,0.566500227,0.705052344,0.052364006,0.565380997,0.658513641,1,69.625,214,30.875,73.5,20.2,1.55,4.51,32,117,7.066,4.222,4.43
Josh Jacobs - 45953,2018,56.32,34.57,-21.75,27.62,34.86,41.33,3,0.557421698,0.883340899,0.930095325,0.696777122,0.934180663,0.964074579,0.921145153,0.897040691,0.895807645,0.613708579,0.936450295,0.871538811,0.893781207,0.944167045,0.970869367,0.85612608,0.565380997,0.658513641,0.414434862,0.712210622,0.940535633,0.37358148,0.807989106,0.942193901,0.944585663,0.565380997,0.658513641,1,70,220,31.625,74.25,18,1.566,4.562,32.8,118.8,7.046,4.266,4.564
ReMahn Davis - 101072,2023,40.09,34.19,-5.9,26.45,32.59,36.41,5,0.862914208,0.83567862,0.4339537,0.360871539,0.757149342,0.623010459,0.868407835,0.485203453,0.849568434,0.926009986,0.891057649,0.564230595,0.712210622,0.772582842,0.653618571,0.947635994,0.565380997,0.658513641,0.380390377,0.810258738,0.374489333,0.247389923,0.726736269,0.638598088,0.353329944,0.565380997,0.658513641,1,68.375,211,30.25,72.25,20.8,1.56,4.52,35,119,7.046,4.51,4.54
David Montgomery - 45719,2018,46.66,33.46,-13.2,29.76,33.36,37.66,3,0.963231956,0.945982751,0.660463005,0.433045847,0.832047208,0.666666667,0.982420894,0.861282367,0.9648582,0.955515207,0.940081707,0.55333636,0.464366773,0.720381298,0.550295858,0.992882562,0.954844779,0.985888993,0.851566046,0.844303223,0.681797549,0.319110304,0.874716296,0.710514338,0.375699034,0.954844779,0.985888993,1,70.125,222,31.375,77.375,15,1.55,4.63,28.5,121,7.074,4.31,4.526
Brian Robinson - 57120,2021,44.06,33.46,-10.6,24.42,30.18,34.48,4,0.800726282,0.657739446,0.581933727,0.65728552,0.744439401,0.397453388,0.834756404,0.550554871,0.824290999,0.967771221,0.777576033,0.535633227,0.652746255,0.84339537,0.697769686,0.911540417,0.565380997,0.658513641,0.599182932,0.438039038,0.525192919,0.552428507,0.684067181,0.023668639,0.542450432,0.565380997,0.658513641,1,73.625,225,31.875,76.375,18.8,1.59,4.53,30,119,7.12,4.344,4.58
Justice Hill - 45865,2018,40.96,32.55,-8.41,26.24,29.72,32.55,3,0.966409442,0.541988198,0.808443032,0.610077167,0.589650477,0.23783538,0.211953792,0.121454994,0.306411837,0.965501589,0.594189741,0.673172946,0.541080345,0.548343168,0.223031406,0.766141332,0.476011289,0.702728128,0.94098956,0.481162052,0.840671811,0.509305493,0.528370404,0.382339554,0.02541942,0.476011289,0.702728128,1,69.625,198,31.625,74.875,21,1.48,4.4,40,130,6.988,4.216,4.482
Eno Benjamin - 57136,2019,29.69,32.46,2.77,28.63,31.8,33.97,2,0.994098956,0.860190649,0.625056741,0.59055833,0.656377667,0.640745794,0.980411853,0.858199753,0.973489519,0.987290059,0.811166591,0.558329551,0.494325919,0.617793917,0.53117888,0.971530249,0.809971778,0.962370649,0.99228325,0.879255561,0.673626872,0.686336813,0.679527916,0.715521165,0.965429588,0.809971778,0.962370649,1,68.875,207,31.25,76,12,1.53,4.57,39,122,6.97,4.25,4.5
Justin Jackson - 29539,2017,36.52,32.21,-4.31,25.61,29.67,32.21,4,0.996822515,0.491148434,0.457557876,0.413527009,0.49160236,0.57480673,0.026117529,0.006165228,0.041923551,0.990921471,0.636404902,0.515206537,0.461643214,0.695415343,0.514792899,0.282155567,0.038570085,0.317027281,0.991829324,0.29005901,0.402632773,0.282796187,0.350885157,0.571688666,0.005592272,0.038570085,0.317027281,1,71.625,199,30.625,75.875,13,1.56,4.52,38.5,122,6.81,4.07,4.446
Audric Estime - 147476,2023,19.61,32.21,12.6,29.68,36.68,46.81,2,0.929187472,0.837494326,0.901497957,0.929641398,0.93327281,0.758981355,0.956805625,0.784833539,0.942046856,0.885610531,0.787562415,0.800272356,0.868815252,0.891511575,0.646335913,0.931367565,0.726246472,0.903104421,0.936904222,0.856559237,0.921924648,0.919655016,0.918747163,0.805188894,0.957803762,0.726246472,0.903104421,1,71.375,221,32.375,76.5,23,1.58,4.71,38,125,7.048,4.23,4.5
Darrell Henderson - 41193,2018,19.49,30.54,11.05,29.22,32.21,37.73,3,0.844303223,0.76895143,0.981842941,0.926009986,0.992737177,0.889040473,0.902059267,0.523427867,0.852034525,0.896958693,0.733091239,0.964139809,0.937812074,0.997276441,0.856622667,0.964412811,0.865475071,0.95014111,0.760780754,0.725374489,0.972764412,0.85746709,0.807989106,0.861174329,0.302999492,0.865475071,0.95014111,0,68.375,208,31,73.875,22,1.59,4.49,33.5,121,7.108,4.37,4.48
Ameer Abdullah - 9487,2014,20.18,30.52,10.34,30.52,32.73,36.68,1,0.991829324,0.70857921,0.832955061,0.896958693,0.603268271,0.775352433,0.996484179,0.956843403,0.995067818,0.963231956,0.566500227,0.667271902,0.727644122,0.438039038,0.599908967,0.976614133,0.897460019,0.967074318,0.994098956,0.819791194,0.897412619,0.926463913,0.756241489,0.856622667,0.997966446,0.897460019,0.967074318,1,68.75,205,30,72,24,1.6,4.6,42.5,130,6.79,3.95,4.444
