ID,Last_Season,target,predicted_value,Diff,min_value,mean_value,max_value,Seasons,ContestedTile,Value,TotalNonSepSeasons,NonSepPercent,Slot_rate,best_Slot_rate,worst_Slot_rate,RR,TPRR,YPRR,TDPRR,ADOT,YAC,best_RR,best_TPRR,best_YPRR,best_TDPRR,best_ADOT,best_YAC,worst_RR,worst_TPRR,worst_YPRR,worst_TDPRR,worst_ADOT,worst_YAC,Strength_Power 5,Filter_NonSeparator,Filter_Solid,Filter_Gadget,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,WAR,athleticism_score
Ricardo Louis - 10748,2015,31.53,29.23,-2.3,25.91,34.54,49.35,2,100,47.04,0,0,0.50747613,0.620886178,0.326135816,0.567645469,0.990091875,0.970635921,0.864889209,0.703476851,0.74310935,0.625060202,0.995504896,0.981297158,0.914593033,0.854551292,0.868598491,0.425509713,0.874939798,0.849173222,0.735190239,0.407770108,0.446139027,1,0,1,0,73.75,215,32.375,77.5,18,1.53,4.43,38,132,6.926,4.168,4.474,0.65310808,90.31
Ladd McConkey - 124030,2023,94.78,29.05,-65.73,18.91,33.66,50.65,3,58.3,87.29,0,0,0.537380652,0.634853106,0.49189276,0.733381373,0.817330211,0.960007206,0.905242299,0.49090254,0.81895154,0.883047038,0.821881522,0.970942366,0.9480655,0.618317547,0.820918285,0.507224274,0.758548724,0.829426874,0.702921817,0.259190881,0.751003371,1,0,1,0,71.625,186,30.25,72,13,1.52,4.39,36,124,6.95,4.228,4.47,0.81967142,82.88
Zay Flowers - 97268,2022,83.77,28.91,-54.86,21.75,36.39,55.13,4,60.59,75.75,0,0,0.544946856,0.645689517,0.461550811,0.93676815,0.849216357,0.872095118,0.907404071,0.728337237,0.853539903,0.986755498,0.846524322,0.85800289,0.906887141,0.826055547,0.854310483,0.589902071,0.601862257,0.707416921,0.749799326,0.398218013,0.763926794,1,0,1,0,69.25,182,29.25,72.25,13.2,1.53,4.42,35.5,127,6.96,4.194,4.4,0.889313908,73.49
Duke Williams - 11366,2015,33.73,28.78,-4.95,18.08,25.03,29.46,2,100,51.31,0,0,0.73356152,0.713437149,0.69128271,0.553413799,0.963069717,0.931904161,0.873176004,0.768330031,0.242118537,0.630518542,0.978728528,0.982099856,0.900947183,0.787445818,0.3441965,0.394204527,0.692888104,0.509792904,0.577620806,0.675389308,0.198988602,1,0,1,0,74.25,229,32.5,78.5,14,1.59,4.72,30,121,7.43,4.47,4.482,0.795699525,61.51
Ainias Smith - 99207,2023,30.62,28.63,-1.99,22.91,30.24,43.29,5,47.33,74.95,1,0.2,0.734282111,0.775244823,0.631321239,0.778418303,0.789407314,0.850117096,0.800216177,0.335795352,0.795892632,0.880317868,0.83344036,0.937871247,0.872772516,0.398218013,0.959303259,0.396612618,0.710627709,0.571680848,0.454085728,0.27861615,0.295633328,1,0,1,0,69.375,190,29,70.25,21,1.542,4.574,35,121.8,7.144,4.248,4.36,0.812851829,60
Chris Moore - 10741,2015,16.66,28.6,11.94,17.33,27.26,37.9,2,100,45.61,0,0,0.208430913,0.263043827,0.228768663,0.911547469,0.655737705,0.903620969,0.931904161,0.951900558,0.907404071,0.864986354,0.648659496,0.885053781,0.924787285,0.952319795,0.950634131,0.79507144,0.574249478,0.838577621,0.85246428,0.9207738,0.685984909,1,0,1,0,73,206,33.375,76.125,10,1.5,4.53,37,130,6.76,4.2,4.464,0.690512503,82.47
Bryan Edwards - 28486,2019,25.56,28.47,2.91,19.16,28.72,38.36,4,47.62,70.08,1,0.25,0.337776977,0.580349976,0.104832236,0.965591785,0.84741488,0.840929562,0.771932985,0.453611962,0.756079986,0.949430085,0.979129876,0.916599775,0.829667683,0.607721946,0.868598491,0.826858244,0.491330872,0.552095039,0.596082838,0.227323808,0.599293627,1,0,1,0,74.75,212,32.25,78.625,12.6,1.564,4.602,32.5,121,7.118,4.334,4.52,0.862655507,65.32
Jermaine Burton - 124017,2023,24.53,28.43,3.9,27.02,33.85,48.99,4,38.01,83.32,2,0.5,0.485678256,0.60924707,0.448226039,0.841289858,0.473788507,0.88218339,0.906323185,0.906863628,0.404431634,0.854551292,0.600899021,0.937871247,0.930245625,0.968213196,0.564617114,0.632685824,0.241210467,0.600016054,0.651870284,0.764809761,0.27861615,1,0,1,0,72.25,196,31,74.875,15.6,1.53,4.45,38.5,133,6.98,4.232,4.49,0.809958669,80.55
NKeal Harry - 48297,2018,29.76,28.41,-1.35,24.51,32.97,47.42,3,42.94,78.53,1,0.33,0.376148442,0.578985391,0.12016375,0.990812466,0.821833904,0.878580436,0.807782382,0.471626734,0.760223383,0.989324129,0.913710066,0.933857762,0.879996789,0.568148981,0.832396853,0.938834484,0.51083641,0.473992615,0.596564457,0.398218013,0.644405201,1,0,1,0,74.375,228,33,78.25,27,1.55,4.53,38.5,122,7.11,4.216,4.47,0.99016119,78.04
Auden Tate - 48192,2017,27.94,28.37,0.43,21.58,32.83,46.23,2,55.94,59.59,1,0.5,0.322104125,0.389147536,0.33055065,0.865069357,0.595568366,0.684201045,0.960727797,0.817870654,0.339218159,0.81136619,0.692647295,0.695697544,0.960828383,0.849574571,0.465082678,0.735350779,0.40158934,0.586209664,0.886017017,0.694172419,0.253812811,1,0,1,0,76.875,228,33.75,79.25,15.2,1.51,4.68,31,112,6.906,4.24,4.522,0.76738789,58.89
Rashard Higgins - 10806,2015,27.22,28.33,1.11,25.17,29.86,40.42,2,100,86.97,0,0,0.328589443,0.386177557,0.34965484,0.941992434,0.987930103,0.995316159,0.98342641,0.606016934,0.869392902,0.922058115,0.982902553,0.995906245,0.987237117,0.59849093,0.950634131,0.814576979,0.9780061,0.979290416,0.918606518,0.568148981,0.514368277,0,0,1,0,73.375,196,32.25,76.5,13,1.56,4.64,32,116,7.008,4.33,4.474,1.006073569,53.79
Trey Palmer - 99248,2022,38.04,28.29,-9.75,18.6,28.08,36.66,1,27.1,45.04,0,0,0.749594668,0.979370686,0.656847006,0.598991173,0.895154026,0.611421366,0.840749415,0.371104306,0.449468564,0.833520629,0.981136619,0.970942366,0.935142077,0.70219939,0.700433456,0.162867234,0.05466367,0.023278215,0,0.084845079,0.119762402,1,0,1,0,72.25,192,31.875,76.125,13.8,1.51,4.33,37,123.6,7.014,4.36,4.46,0.354905972,80.94
Deon Cain - 13597,2017,17.02,28.25,11.23,21.53,34.27,53.96,3,74.42,66.14,0,0,0.239056026,0.373976561,0.102745224,0.817330211,0.929922536,0.963790308,0.945955684,0.832462619,0.698252567,0.885615669,0.930004816,0.978567988,0.968052657,0.938272596,0.868598491,0.552175309,0.840423824,0.800850859,0.788409054,0.666960989,0.3441965,1,0,1,0,73.875,202,33,79.625,11,1.53,4.43,33.5,115,6.71,4.37,4.436,0.884147551,73.91
Parker Washington - 129799,2022,27.86,27.93,0.07,23.95,31.86,45.92,3,49.16,84.86,0,0,0.831742028,0.944052015,0.708942045,0.931543866,0.675734102,0.797694109,0.681138534,0.379751396,0.685822374,0.944613903,0.770107561,0.835768181,0.829667683,0.484588216,0.751003371,0.766896773,0.477685022,0.586209664,0.500240809,0.27861615,0.446139027,1,0,1,0,69.75,204,29,72,16,1.528,4.47,35.2,120.4,7.042,4.336,4.49,0.935604464,68.13
Corey Coleman - 10649,2015,36.75,27.85,-8.9,24.76,33.38,48.88,2,100,82.9,0,0,0.550351288,0.609086531,0.542061326,0.922896775,0.978202126,0.993514682,0.994415421,0.743289497,0.869392902,0.866511479,0.979370686,0.991250602,0.996468133,0.780221544,0.874698989,0.821480173,0.932653716,0.984026328,0.968534275,0.627709103,0.785358806,1,0,1,0,70.625,194,30.25,72.875,17,1.534,4.438,40.5,129,6.868,4.234,4.432,0.995120893,76.17
DaeSean Hamilton - 45416,2017,29.81,27.76,-2.05,22.74,29.79,39.65,3,74.64,49.55,0,0,0.786344803,0.979370686,0.649542463,0.987569807,0.659881103,0.649972978,0.607277968,0.360655738,0.733021077,0.994060042,0.874779258,0.78407449,0.860491251,0.448226039,0.751003371,0.943008509,0.317225879,0.425028094,0.375581955,0.25140472,0.644405201,1,0,1,0,72.625,203,31,75.125,18.6,1.536,4.534,34.5,118,6.84,4.15,4.52,0.658067783,67.33
Michael Rector - 12189,2016,2.43,27.5,25.07,17.37,30.66,43.81,2,100,11.23,0,0,0.27274365,0.428720501,0.197704286,0.824896415,0.649972978,0.645108989,0.789227166,0.943433616,0.200144118,0.775726441,0.647375181,0.835768181,0.928319152,0.940600417,0.295633328,0.714079306,0.556349334,0.452801413,0.527853588,0.9234227,0.139187671,1,0,1,0,72.5,193,32.5,78.13,12.8,1.48,4.42,36.5,129,6.77,4.19,4.442,0.242279397,89.46
Geronimo Allison - 11141,2015,30.79,27.3,-3.49,15.71,24.85,30.02,2,100,24.02,0,0,0.205368402,0.345962434,0.116872692,0.992974239,0.705638624,0.632318501,0.537200504,0.57395064,0.43001261,0.98916359,0.847808637,0.687349494,0.641435222,0.59849093,0.548242093,0.966607802,0.36891957,0.488601702,0.464761599,0.515813132,0.329105795,1,0,1,0,75.25,196,32.875,79.75,13.2,1.6,4.67,33,127,7.4,4.28,4.446,0.5911118,59.27
Dante Pettis - 48113,2017,31.39,27.3,-4.09,22.1,31.52,52.78,4,83.19,60.98,0,0,0.346604215,0.409214962,0.333039011,0.876598811,0.728697532,0.78418303,0.898756981,0.68618267,0.4031706,0.890271312,0.974554503,0.915154921,0.984106598,0.794429282,0.599293627,0.606758709,0.239123455,0.462995665,0.385695938,0.484588216,0.187429764,1,0,1,0,72.5,186,32.25,77.25,14.8,1.538,4.478,34.6,117.4,6.946,4.374,4.412,0.848396363,69.75
David Bell - 97989,2021,21.84,27.25,5.41,22.94,28.57,36.49,3,18.3,86.47,2,0.67,0.304269501,0.424546476,0.285760154,0.980363898,0.92884165,0.917852639,0.825977301,0.475770132,0.495586381,0.987879274,0.918445978,0.932573447,0.939717451,0.525846845,0.685984909,0.764890031,0.861213678,0.815058597,0.682212233,0.427676995,0.3441965,1,1,0,0,72.875,212,31.875,76.625,16.2,1.59,4.65,33,118,7.14,4.57,4.52,0.993880967,56.14
